
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
22:12, Wednesday, September 24, 2025


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,8.8736E+06  ,
2, 0.0083334   ,8.12E+06    ,
3, 0.016667    ,7.4988E+06  ,
4, 0.025       ,6.9619E+06  ,
5, 0.033333    ,6.4858E+06  ,
6, 0.041667    ,6.0311E+06  ,
7, 0.05        ,5.5881E+06  ,
8, 0.058333    ,5.175E+06   ,
9, 0.066667    ,4.7762E+06  ,
10, 0.075       ,4.4076E+06  ,
11, 0.083333    ,4.0354E+06  ,
12, 0.091667    ,3.6801E+06  ,
13, 0.1         ,3.3373E+06  ,
14, 0.10833     ,3.0215E+06  ,
15, 0.11667     ,2.7126E+06  ,
16, 0.125       ,2.4341E+06  ,
17, 0.13333     ,2.1634E+06  ,
18, 0.14167     ,1.9212E+06  ,
19, 0.15        ,1.6919E+06  ,
20, 0.15833     ,1.4783E+06  ,
21, 0.16667     ,1.2867E+06  ,
22, 0.175       ,1.1083E+06  ,
23, 0.18333     ,9.6091E+05  ,
24, 0.19167     ,8.1488E+05  ,
25, 0.2         ,6.8525E+05  ,
26, 0.20833     ,5.7392E+05  ,
27, 0.21667     ,4.6894E+05  ,
28, 0.225       ,3.8857E+05  ,
29, 0.23333     ,3.1219E+05  ,
30, 0.24167     ,2.3894E+05  ,
31, 0.25        ,1.7465E+05  ,
32, 0.25833     ,1.2692E+05  ,
33, 0.26667     ,92415,
34, 0.275       ,77818,
35, 0.28333     ,92846,
36, 0.29167     ,1.0759E+05  ,
37, 0.3         ,1.2643E+05  ,
38, 0.30833     ,1.5874E+05  ,
39, 0.31667     ,1.9375E+05  ,
40, 0.325       ,2.1415E+05  ,
41, 0.33333     ,2.285E+05   ,
42, 0.34167     ,2.4791E+05  ,
43, 0.35        ,2.7406E+05  ,
44, 0.35833     ,2.8163E+05  ,
45, 0.36667     ,3.015E+05   ,
46, 0.375       ,3.1644E+05  ,
47, 0.38333     ,3.2155E+05  ,
48, 0.39167     ,3.2953E+05  ,
49, 0.4         ,3.4363E+05  ,
50, 0.40833     ,3.5117E+05  ,
51, 0.41667     ,3.5839E+05  ,
52, 0.425       ,3.6195E+05  ,
53, 0.43333     ,3.6819E+05  ,
54, 0.44167     ,3.7074E+05  ,
55, 0.45        ,3.7604E+05  ,
56, 0.45833     ,3.7759E+05  ,
57, 0.46667     ,3.8121E+05  ,
58, 0.475       ,3.8177E+05  ,
59, 0.48333     ,3.8433E+05  ,
60, 0.49167     ,3.8383E+05  ,
61, 0.5         ,3.8541E+05  ,
62, 0.50833     ,3.8339E+05  ,
63, 0.51667     ,3.8472E+05  ,
64, 0.525       ,3.8232E+05  ,
65, 0.53333     ,3.8167E+05  ,
66, 0.54167     ,3.7753E+05  ,
67, 0.55        ,3.7646E+05  ,
68, 0.55833     ,3.7083E+05  ,
69, 0.56667     ,3.6796E+05  ,
70, 0.575       ,3.6196E+05  ,
71, 0.58333     ,3.5746E+05  ,
72, 0.59167     ,3.5139E+05  ,
73, 0.6         ,3.4382E+05  ,
74, 0.60833     ,3.286E+05   ,
75, 0.61667     ,3.1984E+05  ,
76, 0.625       ,3.1557E+05  ,
77, 0.63333     ,3.0269E+05  ,
78, 0.64167     ,2.8176E+05  ,
79, 0.65        ,2.6857E+05  ,
80, 0.65833     ,2.47E+05    ,
81, 0.66667     ,2.2775E+05  ,
82, 0.675       ,2.0489E+05  ,
83, 0.68333     ,1.875E+05   ,
84, 0.69167     ,1.6225E+05  ,
85, 0.7         ,1.2954E+05  ,
86, 0.70833     ,1.0754E+05  ,
87, 0.71667     ,93569,
88, 0.725       ,79046,
89, 0.73333     ,92341,
90, 0.74167     ,1.2811E+05  ,
91, 0.75        ,1.7891E+05  ,
92, 0.75833     ,2.4053E+05  ,
93, 0.76667     ,3.0776E+05  ,
94, 0.775       ,3.8543E+05  ,
95, 0.78333     ,4.6802E+05  ,
96, 0.79167     ,5.7256E+05  ,
97, 0.8         ,6.8386E+05  ,
98, 0.80833     ,8.162E+05   ,
99, 0.81667     ,9.5744E+05  ,
100, 0.825       ,1.1056E+06  ,
101, 0.83333     ,1.2823E+06  ,
102, 0.84167     ,1.4787E+06  ,
103, 0.85        ,1.6835E+06  ,
104, 0.85833     ,1.917E+06   ,
105, 0.86667     ,2.1562E+06  ,
106, 0.875       ,2.4328E+06  ,
107, 0.88333     ,2.7142E+06  ,
108, 0.89167     ,3.0244E+06  ,
109, 0.9         ,3.3381E+06  ,
110, 0.90833     ,3.681E+06   ,
111, 0.91667     ,4.04E+06    ,
112, 0.925       ,4.4076E+06  ,
113, 0.93333     ,4.7811E+06  ,
114, 0.94167     ,5.1779E+06  ,
115, 0.95        ,5.5912E+06  ,
116, 0.95833     ,6.0182E+06  ,
117, 0.96667     ,6.4744E+06  ,
118, 0.975       ,6.9613E+06  ,
119, 0.98333     ,7.5069E+06  ,
120, 0.99167     ,8.1347E+06  ,
121, 1,8.9284E+06  ,
